file_path,activity_id,sport,start_time_utc,total_time_s,distance_m,calories,avg_hr_bpm,max_hr_bpm,avg_cadence_rpm
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\00fa2a98-66c6-4412-8883-7569365c93ee.tcx,2025-11-05T05:37:34.728Z,Running,2025-11-05T05:37:34.728000Z,4526.441,10495.795164274054,418,,,144
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\028a0abc-594b-4370-b62e-63fb6ee649dc.tcx,2023-03-14T22:33:53.143Z,Running,2023-03-14T22:33:53.143000Z,2144.05,5885.862459458407,314,156,180,177
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\05953318-92c4-459a-b4a7-747679bf53b5.tcx,2023-03-09T23:48:40.713Z,Running,2023-03-09T23:48:40.713000Z,1260.337,3204.4613115536054,164,167,179,171
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\097197ae-750a-461e-8d5f-7bf834644ef4.tcx,2025-12-11T23:40:32.407Z,Running,2025-12-11T23:40:32.407000Z,2944.782,7660.671617100016,313,,,156
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\09ac87a6-cf81-495d-83da-eede75c64122.tcx,2025-04-13T13:27:42.524Z,Running,2025-04-13T13:27:42.524000Z,745.285,1678.4660647144776,64,,,146
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\0aec99b7-e0cf-441e-b128-b91661677d6e.tcx,2025-01-11T17:02:49.926Z,Running,2025-01-11T17:02:49.926000Z,1602.099,5090.362974400398,211,,,169
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\0b0f60b3-57ba-4a5e-8787-c59304999612.tcx,2025-04-07T13:27:11.631Z,Running,2025-04-07T13:27:11.631000Z,620.935,1749.40523955936,71,,,156
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\0c1bb8db-1df0-4930-b3fd-1f012cf7ffff.tcx,2022-11-17T00:24:43.897Z,Running,2022-11-17T00:24:43.897000Z,812.365,2892.984155958054,160,152,183,186
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\0e01d762-5924-4418-be97-3e0abfd4c1d8.tcx,2023-05-20T16:10:49.685Z,Running,2023-05-20T16:10:49.685000Z,440.903,1220.2671793913469,58,126,149,162
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\0e119060-8d99-4218-952d-8533446c26d7.tcx,2025-10-15T22:24:41.112Z,Running,2025-10-15T22:24:41.112000Z,4662.003,11265.633651077256,449,,,148
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\0fe17327-681a-4178-9b50-8eb71fa5b314.tcx,2025-11-27T06:21:13.674Z,Running,2025-11-27T06:21:13.674000Z,1787.509,4639.008171710645,193,,,149
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\10c9496d-53f4-4694-8141-3bbd255649be.tcx,2025-10-22T22:30:13.937Z,Running,2025-10-22T22:30:13.937000Z,3785.671,8742.985426471088,345,,,158
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\115d2008-3127-45cd-b1b7-bd65c6883cbf.tcx,2025-11-15T17:07:47.448Z,Running,2025-11-15T17:07:47.448000Z,1158.16,3040.36173973465,123,,,161
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\11707c04-0778-4ae2-b5d0-f9d3d9d44680.tcx,2023-05-26T18:23:17.251Z,Running,2023-05-26T18:23:17.251000Z,3698.284,8441.600446666593,496,156,193,142
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\1191dac6-cd6f-47ae-97ce-b1ecef915188.tcx,2023-07-25T13:40:33.374Z,Running,2023-07-25T13:40:33.374000Z,3401.904,11416.841210358796,633,165,193,170
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\11fec1a9-a023-4e40-bd0d-d6728503fd80.tcx,2022-11-16T23:31:45.941Z,Running,2022-11-16T23:31:45.941000Z,36.458,69.19955003261565,2,156,159,142
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\12160628-74cd-4433-8061-2502c01897d6.tcx,2026-02-14T17:36:08.259Z,Running,2026-02-14T17:36:08.259000Z,7919.361,22534.96555557568,924,,,157
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\128423fc-717e-4528-97b3-5efc036e55b5.tcx,2025-06-23T22:38:52.436Z,Running,2025-06-23T22:38:52.436000Z,695.399,1734.0954694957468,69,,,164
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\12c9251d-6732-4d14-bd70-b9886c98206c.tcx,2025-09-10T23:48:46.885Z,Running,2025-09-10T23:48:46.885000Z,628.762,1715.010666286108,69,,,153
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\16548713-a9eb-4587-befc-355346d24f34.tcx,2024-05-03T18:53:32.148Z,Running,2024-05-03T18:53:32.148000Z,5965.855,13641.412694927309,830,178,202,148
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\19dbc639-37b1-4cae-8ae4-5d04caea031f.tcx,2026-02-02T04:43:41.284Z,Running,2026-02-02T04:43:41.284000Z,4787.597,13139.148181554878,538,,,162
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\1a7405f0-9f50-4822-9946-46c620b46848.tcx,2025-10-24T23:27:11.729Z,Running,2025-10-24T23:27:11.729000Z,2876.108,5941.834182996765,231,,,142
C:\Users\12063\Downloads\sqlite\strava_nike_performance_analysis\data\raw\tcx\1bcc2372-ecac-4a47-bf8b-069ab0ebb1f5.tcx,2022-11-21T23:07:38.420Z,Running,2022-11-21T23:07:38.420000Z,542.159,1479.318024707028,90,139,181,174
